,Language,Step,Task,Accuracy,Tokens,Accuracy (normalized),N
353,id,300,dev_LAS,72.0626,10M,0.9654,2
129,id,3050,dev_LAS,70.5642,100M,0.9152,3
66,id,31250,dev_LAS,73.0963,1B,1.0,4
525,id,0,dev_Lemmas,90.5832,0,0.0,0
420,id,30,dev_Lemmas,91.0289,1M,0.0992,1
350,id,300,dev_Lemmas,92.7833,10M,0.4895,2
126,id,3050,dev_Lemmas,93.5609,100M,0.6624,3
63,id,31250,dev_Lemmas,95.0782,1B,1.0,4
530,id,0,dev_MLAS,28.6421,0,0.0,0
425,id,30,dev_MLAS,37.6379,1M,0.2777,1
355,id,300,dev_MLAS,59.9434,10M,0.9664,2
131,id,3050,dev_MLAS,58.1188,100M,0.91,3
68,id,31250,dev_MLAS,61.0325,1B,1.0,4
527,id,0,dev_UAS,50.6496,0,0.0,0
422,id,30,dev_UAS,60.825,1M,0.3521,1
352,id,300,dev_UAS,79.137,10M,0.9859,2
128,id,3050,dev_UAS,77.3826,100M,0.9252,3
65,id,31250,dev_UAS,79.5448,1B,1.0,4
526,id,0,dev_UPOS,82.9398,0,0.0,0
421,id,30,dev_UPOS,85.5097,1M,0.2394,1
351,id,300,dev_UPOS,92.7359,10M,0.9125,2
127,id,3050,dev_UPOS,93.2385,100M,0.9594,3
64,id,31250,dev_UPOS,93.6747,1B,1.0,4
118,ja,0,dev_BLEX,55.4981,0,0.0,0
62,ja,30,dev_BLEX,63.1851,1M,0.3399,1
34,ja,300,dev_BLEX,77.9731,10M,0.9939,2
13,ja,3050,dev_BLEX,76.0255,100M,0.9078,3
6,ja,31250,dev_BLEX,78.111,1B,1.0,4
116,ja,0,dev_CLAS,59.2382,0,0.0,0
60,ja,30,dev_CLAS,66.7011,1M,0.3331,1
32,ja,300,dev_CLAS,81.6443,10M,1.0,2
11,ja,3050,dev_CLAS,79.5071,100M,0.9046,3
4,ja,31250,dev_CLAS,81.4891,1B,0.9931,4
