,Checkpoint Step,Accuracy (normalized),Task,Language
43,3.510204081632653,0.9999369477216236,dev_CLAS,el
44,3.591836734693877,0.999957056117628,dev_CLAS,el
45,3.6734693877551017,0.9999707518070166,dev_CLAS,el
46,3.7551020408163263,0.9999800797457309,dev_CLAS,el
47,3.836734693877551,0.9999864328251029,dev_CLAS,el
48,3.9183673469387754,0.9999907597634428,dev_CLAS,el
49,4.0,0.9999937067330187,dev_CLAS,el
0,0.0,0.001349612637554557,dev_LAS,el
1,0.08163265306122448,0.0019731900149196676,dev_LAS,el
2,0.16326530612244897,0.002884054098389319,dev_LAS,el
3,0.24489795918367346,0.0042136160951080255,dev_LAS,el
4,0.32653061224489793,0.0061523303116272285,dev_LAS,el
5,0.4081632653061224,0.008975020751714313,dev_LAS,el
6,0.4897959183673469,0.013075723603673607,dev_LAS,el
